label,placebo_n,placebo_pct,placebo_ae,xanomeline_ld_n,xanomeline_ld_pct,xanomeline_ld_ae,xanomeline_hd_n,xanomeline_hd_pct,xanomeline_hd_ae,fisher_placebo_v_xanomeline_ld,fisher_placebo_v_xanomeline_hd
ANY BODY SYSTEM,65,75.6,281,77,91.7,412,76,90.5,433,0.007,0.014
,,,,,,,,,,,
"CARDIAC DISORDERS",12,14.0,26,13,15.5,30,15,17.9,30,0.831,0.534
"  SINUS BRADYCARDIA",2,2.3,2,7,8.3,10,8,9.5,12,0.097,0.056
"  MYOCARDIAL INFARCTION",4,4.7,4,2,2.4,4,4,4.8,8,0.682,0.999
"  ATRIAL FIBRILLATION",1,1.2,1,1,1.2,1,3,3.6,5,0.999,0.365
"  ATRIAL FLUTTER",0,,,1,1.2,1,1,1.2,2,0.494,0.494
"  CARDIAC DISORDER",0,,,0,,,1,1.2,1,,0.494
"  SUPRAVENTRICULAR EXTRASYSTOLES",1,1.2,2,1,1.2,2,1,1.2,1,0.999,0.999
"  VENTRICULAR EXTRASYSTOLES",0,,,2,2.4,4,1,1.2,1,0.243,0.494
"  ATRIAL HYPERTROPHY",1,1.2,2,0,,,0,,,0.999,0.999
"  ATRIOVENTRICULAR BLOCK FIRST DEGREE",1,1.2,1,1,1.2,1,0,,,0.999,0.999
"  ATRIOVENTRICULAR BLOCK SECOND DEGREE",1,1.2,1,0,,,0,,,0.999,0.999
"  BRADYCARDIA",1,1.2,4,0,,,0,,,0.999,0.999
"  BUNDLE BRANCH BLOCK LEFT",1,1.2,1,0,,,0,,,0.999,0.999
"  BUNDLE BRANCH BLOCK RIGHT",1,1.2,2,1,1.2,1,0,,,0.999,0.999
"  CARDIAC FAILURE CONGESTIVE",1,1.2,1,0,,,0,,,0.999,0.999
"  PALPITATIONS",0,,,2,2.4,2,0,,,0.243,
"  SINUS ARRHYTHMIA",1,1.2,2,0,,,0,,,0.999,0.999
"  SUPRAVENTRICULAR TACHYCARDIA",0,,,1,1.2,2,0,,,0.494,
"  TACHYCARDIA",1,1.2,2,0,,,0,,,0.999,0.999
"  VENTRICULAR HYPERTROPHY",1,1.2,1,0,,,0,,,0.999,0.999
"  WOLFF-PARKINSON-WHITE SYNDROME",0,,,1,1.2,2,0,,,0.494,
,,,,,,,,,,,
"CONGENITAL, FAMILIAL AND GENETIC DISORDERS",0,,,1,1.2,1,2,2.4,2,0.494,0.243
"  VENTRICULAR SEPTAL DEFECT",0,,,1,1.2,1,2,2.4,2,0.494,0.243
,,,,,,,,,,,
"EAR AND LABYRINTH DISORDERS",1,1.2,2,2,2.4,2,1,1.2,1,0.618,0.999
"  VERTIGO",0,,,1,1.2,1,1,1.2,1,0.494,0.494
"  CERUMEN IMPACTION",0,,,1,1.2,1,0,,,0.494,
"  EAR PAIN",1,1.2,2,0,,,0,,,0.999,0.999
,,,,,,,,,,,
"EYE DISORDERS",2,2.3,5,2,2.4,2,1,1.2,2,0.999,0.999
"  VISION BLURRED",0,,,1,1.2,1,1,1.2,2,0.494,0.494
"  CONJUNCTIVAL HAEMORRHAGE",0,,,1,1.2,1,0,,,0.494,
"  CONJUNCTIVITIS",1,1.2,2,0,,,0,,,0.999,0.999
"  EYE ALLERGY",1,1.2,1,0,,,0,,,0.999,0.999
"  EYE PRURITUS",1,1.2,1,0,,,0,,,0.999,0.999
"  EYE SWELLING",1,1.2,1,0,,,0,,,0.999,0.999
,,,,,,,,,,,
"GASTROINTESTINAL DISORDERS",17,19.8,26,14,16.7,22,20,23.8,36,0.692,0.580
"  VOMITING",3,3.5,3,3,3.6,4,7,8.3,9,0.999,0.208
"  NAUSEA",3,3.5,3,3,3.6,5,6,7.1,13,0.999,0.326
"  DIARRHOEA",9,10.5,10,4,4.8,5,4,4.8,4,0.248,0.248
"  SALIVARY HYPERSECRETION",0,,,0,,,4,4.8,5,,0.057
"  ABDOMINAL DISCOMFORT",0,,,0,,,1,1.2,1,,0.494
"  ABDOMINAL PAIN",1,1.2,1,3,3.6,3,1,1.2,2,0.365,0.999
"  GASTROINTESTINAL HAEMORRHAGE",0,,,0,,,1,1.2,1,,0.494
"  STOMACH DISCOMFORT",0,,,0,,,1,1.2,1,,0.494
"  CONSTIPATION",1,1.2,1,0,,,0,,,0.999,0.999
"  DYSPEPSIA",1,1.2,2,1,1.2,2,0,,,0.999,0.999
"  DYSPHAGIA",0,,,1,1.2,1,0,,,0.494,
"  FLATULENCE",1,1.2,2,0,,,0,,,0.999,0.999
"  GASTROOESOPHAGEAL REFLUX DISEASE",1,1.2,1,0,,,0,,,0.999,0.999
"  GLOSSITIS",1,1.2,1,0,,,0,,,0.999,0.999
"  HIATUS HERNIA",1,1.2,2,0,,,0,,,0.999,0.999
"  RECTAL HAEMORRHAGE",0,,,1,1.2,2,0,,,0.494,
,,,,,,,,,,,
"GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS",21,24.4,46,47,56.0,118,40,47.6,124,0.000,0.002
"  APPLICATION SITE PRURITUS",6,7,10,22,26.2,32,22,26.2,35,0.001,0.001
"  APPLICATION SITE ERYTHEMA",3,3.5,3,12,14.3,20,15,17.9,23,0.015,0.002
"  APPLICATION SITE IRRITATION",3,3.5,7,9,10.7,18,9,10.7,16,0.078,0.078
"  APPLICATION SITE DERMATITIS",5,5.8,9,9,10.7,15,7,8.3,12,0.277,0.563
"  APPLICATION SITE VESICLES",1,1.2,2,4,4.8,5,6,7.1,6,0.208,0.062
"  FATIGUE",1,1.2,2,5,6.0,5,5,6.0,5,0.115,0.115
"  APPLICATION SITE PAIN",0,,,0,,,2,2.4,2,,0.243
"  APPLICATION SITE PERSPIRATION",0,,,0,,,2,2.4,3,,0.243
"  APPLICATION SITE SWELLING",0,,,1,1.2,1,2,2.4,3,0.494,0.243
"  CHEST DISCOMFORT",0,,,0,,,2,2.4,2,,0.243
"  CHEST PAIN",0,,,0,,,2,2.4,2,,0.243
"  MALAISE",0,,,1,1.2,2,2,2.4,3,0.494,0.243
"  OEDEMA PERIPHERAL",2,2.3,3,1,1.2,1,2,2.4,3,0.999,0.999
"  APPLICATION SITE DISCHARGE",0,,,0,,,1,1.2,1,,0.494
"  APPLICATION SITE REACTION",1,1.2,2,0,,,1,1.2,1,0.999,0.999
"  APPLICATION SITE URTICARIA",0,,,2,2.4,2,1,1.2,1,0.243,0.494
"  ASTHENIA",1,1.2,2,0,,,1,1.2,1,0.999,0.999
"  CHILLS",1,1.2,3,1,1.2,2,1,1.2,1,0.999,0.999
"  FEELING ABNORMAL",0,,,0,,,1,1.2,1,,0.494
"  FEELING COLD",0,,,0,,,1,1.2,1,,0.494
"  PAIN",0,,,1,1.2,2,1,1.2,1,0.494,0.494
"  PYREXIA",2,2.3,2,0,,,1,1.2,1,0.497,0.999
"  APPLICATION SITE BLEEDING",0,,,1,1.2,1,0,,,0.494,
"  APPLICATION SITE DESQUAMATION",0,,,1,1.2,1,0,,,0.494,
"  APPLICATION SITE DISCOLOURATION",0,,,1,1.2,1,0,,,0.494,
"  APPLICATION SITE INDURATION",1,1.2,1,0,,,0,,,0.999,0.999
"  APPLICATION SITE WARMTH",0,,,1,1.2,2,0,,,0.494,
"  INFLAMMATION",0,,,1,1.2,1,0,,,0.494,
"  OEDEMA",0,,,2,2.4,2,0,,,0.243,
"  SECRETION DISCHARGE",0,,,1,1.2,2,0,,,0.494,
"  SUDDEN DEATH",0,,,1,1.2,1,0,,,0.494,
"  SWELLING",0,,,1,1.2,1,0,,,0.494,
"  ULCER",0,,,1,1.2,1,0,,,0.494,
,,,,,,,,,,,
"HEPATOBILIARY DISORDERS",1,1.2,1,0,,,0,,,0.999,0.999
"  HYPERBILIRUBINAEMIA",1,1.2,1,0,,,0,,,0.999,0.999
,,,,,,,,,,,
"IMMUNE SYSTEM DISORDERS",0,,,1,1.2,2,0,,,0.494,
"  HYPERSENSITIVITY",0,,,1,1.2,2,0,,,0.494,
,,,,,,,,,,,
"INFECTIONS AND INFESTATIONS",16,18.6,35,9,10.7,16,13,15.5,20,0.194,0.685
"  NASOPHARYNGITIS",2,2.3,4,4,4.8,9,6,7.1,8,0.441,0.166
"  UPPER RESPIRATORY TRACT INFECTION",6,7.0,12,1,1.2,2,3,3.6,5,0.117,0.496
"  CYSTITIS",1,1.2,1,0,,,1,1.2,1,0.999,0.999
"  HORDEOLUM",0,,,0,,,1,1.2,1,,0.494
"  INFLUENZA",1,1.2,2,1,1.2,1,1,1.2,1,0.999,0.999
"  LOWER RESPIRATORY TRACT INFECTION",0,,,0,,,1,1.2,2,,0.494
"  RHINITIS",0,,,0,,,1,1.2,1,,0.494
"  URINARY TRACT INFECTION",2,2.3,4,0,,,1,1.2,1,0.497,0.999
"  BRONCHITIS",1,1.2,1,0,,,0,,,0.999,0.999
"  CELLULITIS",0,,,1,1.2,1,0,,,0.494,
"  CERVICITIS",1,1.2,2,0,,,0,,,0.999,0.999
"  EAR INFECTION",2,2.3,4,0,,,0,,,0.497,0.497
"  GASTROENTERITIS VIRAL",1,1.2,1,0,,,0,,,0.999,0.999
"  LOCALISED INFECTION",1,1.2,2,0,,,0,,,0.999,0.999
"  PNEUMONIA",0,,,1,1.2,2,0,,,0.494,
"  VAGINAL MYCOSIS",1,1.2,2,0,,,0,,,0.999,0.999
