rowlbl1,0,54,81
,Placebo\line (N=46),Xanomeline\line Low Dose\line (N=47),Xanomeline\line High Dose\line (N=35)
Baseline,NA,NA,NA
  n,46          ,47          ,35          
  Mean (SD),25.1 (11.25),25.2 (12.15),21.8 (12.54)
  Median (Range),23.5 (  5;51),21.0 (  5;55),18.0 (  5;57)
Week 24,NA,NA,NA
  n,46          ,47          ,35          
  Mean (SD),28.1 (13.70),26.9 (12.09),22.9 (12.84)
  Median (Range),24.0 (  8;59),25.0 (  8;62),19.0 (  4;62)
Change from Baseline,NA,NA,NA
  n,46          ,47          ,35          
  Mean (SD), 3.0 ( 5.57), 1.7 ( 5.54), 1.1 ( 4.77)
  Median (Range), 3.0 ( -8;16), 2.0 (-11;17), 0.0 ( -7;13)
,,,
p-value(Dose Response) [1][2],NA,NA,   0.094    
,NA,NA,
p-value(Xan - Placebo) [1][3],NA,   0.160    ,   0.135    
  Diff of LS Means (SE),NA,-1.6 (1.10),-1.8 (1.20)
  95% CI,NA,(-3.7;0.6),(-4.2;0.6)
,NA,,
p-value(Xan High - Xan Low) [1][3],NA,NA,   0.843    
  Diff of LS Means (SE),NA,NA,-0.2 (1.21)
  95% CI,NA,NA,(-2.6;2.2)
